filename,mean_R,mean_G,mean_B
sampel31.png,183.58761934673367,172.6233465940815,154.74159128978224
sampel32.png,183.7348089260809,172.7671408647141,154.92342468619248
sampel33.png,184.63893600443308,173.62355805338262,155.58167444424754
sampel34.png,183.67723660930832,172.66683393762585,154.7907475197253
sampel35.png,183.57810095387123,172.56329071959453,154.67346574138762
sampel36.png,183.50160739191074,172.52784030683404,154.65196164574616
sampel37.png,183.43623049526346,172.3188946344657,154.40833881795905
sampel38.png,183.0471671096959,172.03685213507572,154.24824222492413
sampel39.png,182.87039065885642,171.8649225060987,154.2326062171805
sampel40.png,183.4777299061334,172.4394686806286,154.7333540094132
