filename,mean_R,mean_G,mean_B,mean_R_cnn,mean_G_cnn,mean_B_cnn,contrast_R,dissimilarity_R,homogeneity_R,energy_R,correlation_R,entropy_R,contrast_G,dissimilarity_G,homogeneity_G,energy_G,correlation_G,entropy_G,contrast_B,dissimilarity_B,homogeneity_B,energy_B,correlation_B,entropy_B
sampel41.png,182.33472590894465,171.45502605603053,152.01914342595146,1.2497201,1.2865683,1.2081614,4.336819764596861,1.2497201,0.1557678195274271,0.0019589943849310583,0.6112788938004547,-128646.64,4.253593525201501,1.2865683,0.15449887718325275,0.0019919767367596528,0.49352217669895826,-131715.75,4.187894974750253,1.2081614,0.1650259434715763,0.0020562525914639843,,-119839.07
sampel42.png,182.21487896957584,171.3563208756886,152.00856848122757,1.2960356,1.3088367,1.2083606,4.334507184227263,1.2960356,0.15111044436148505,0.0023350799266172915,0.47470141661958126,-135128.95,4.251790177981901,1.3088367,0.15232525775022968,0.0023224922467251215,0.3948549280356489,-135055.08,4.254796217459506,1.2083606,0.1628312224135801,0.0024543620493947243,,-121156.914
sampel43.png,182.79822362685266,171.80891728421972,152.45103573968706,1.2787591,1.2676996,1.1937459,4.320287638043378,1.2787591,0.15326592070477627,0.0021312883009715956,0.6277879603425874,-132710.72,4.267365204951236,1.2676996,0.15601262710536687,0.001993440091609955,0.5192343321479603,-129598.484,4.230375007145516,1.1937459,0.1652894463993039,0.0021213399512427194,0.2314855266911114,-118989.89
sampel44.png,182.53871299069868,171.64011910257923,152.27190603493628,1.3114847,1.2946554,1.2354094,4.347476033387787,1.3114847,0.14921701255182016,0.0020424611106210824,0.4603773917300643,-138014.67,4.30667466891737,1.2946554,0.1520759840405031,0.001977922660963876,0.3075840063196964,-134408.66,4.168355018213715,1.2354094,0.16261153338540352,0.0019826548440115793,0.0061241968926822096,-123361.0
sampel45.png,182.799699381585,171.85228827874485,152.4625186097114,1.3290147,1.3209935,1.2765054,4.275050238566456,1.3290147,0.14966464204660734,0.0020248734829377154,0.539809092874721,-138382.28,4.2417421391890135,1.3209935,0.15143910155822934,0.00207805724776521,0.58256343821236,-136525.42,4.123587580441094,1.2765054,0.15964795647537172,0.002154354234131015,0.2413511523784195,-128238.734
sampel46.png,182.75343247870595,171.828272191299,152.37050711711905,1.2643422,1.2961537,1.2292465,4.38169425080866,1.2643422,0.1529061026986445,0.00213947953010092,0.5847996232063687,-131259.42,4.2818723028168755,1.2961537,0.15267257375217963,0.0021349372608321054,0.530651225335396,-133745.66,4.193225448656124,1.2292465,0.1624825219984382,0.0020536751467354446,,-123054.66
sampel47.png,182.54406876634698,171.59542843458908,152.18825067108705,1.3282106,1.2668759,1.2361495,4.281935925477628,1.3282106,0.1495368899379877,0.0022723887647901264,0.6298206613965373,-138499.0,4.323962273930415,1.2668759,0.1543704464663029,0.002176462083446736,0.5261083097678078,-131067.84,4.172947943616348,1.2361495,0.16238015169248712,0.0022200862972103818,,-124042.88
sampel48.png,182.58300702757302,171.6449485289377,152.21919007400084,1.313646,1.3365098,1.2451276,4.298910501313289,1.313646,0.15043822268508533,0.002202678547829998,0.532556255706486,-137000.47,4.219459831176318,1.3365098,0.15061715520687494,0.002179239781535402,0.2984419297412772,-138163.48,4.121545837939344,1.2451276,0.16308290037585668,0.002268985065878654,,-123684.016
sampel49.png,182.76185727712445,171.81573510533434,152.40149834949455,1.35019,1.3072419,1.2545674,4.206252880731943,1.35019,0.14971760608547607,0.0020206819991676174,0.4834538877000356,-139799.8,4.233203943203333,1.3072419,0.15304977559435132,0.0019108799039101114,0.5199363438189586,-134210.77,4.125697380987077,1.2545674,0.16191799544454308,0.002101253338006078,0.12181014565637945,-125685.48
sampel50.png,182.81997598743783,171.8521794695459,152.44140275771954,1.3369914,1.3168039,1.2363986,4.252310212637358,1.3369914,0.1495818573567542,0.0021400437975416377,0.4324839663390155,-139318.16,4.217347766193356,1.3168039,0.15259206903268369,0.0020797169026063413,0.39397235105633677,-135669.31,4.170677402590329,1.2363986,0.16242678544984543,0.0024434753826686312,0.3700157226302825,-123695.2
